,2000m,2000m ave,5000m *2 ave,diff
0,6:15,1:33.8,1:40.8,0:07.0
1,6:16,1:34.0,1:41.1,0:07.1
2,6:17,1:34.2,1:41.3,0:07.1
3,6:18,1:34.5,1:41.6,0:07.1
4,6:19,1:34.8,1:41.9,0:07.1
5,6:20,1:35.0,1:42.1,0:07.1
6,6:21,1:35.2,1:42.4,0:07.2
7,6:22,1:35.5,1:42.7,0:07.2
8,6:23,1:35.8,1:42.9,0:07.2
9,6:24,1:36.0,1:43.2,0:07.2
10,6:25,1:36.2,1:43.5,0:07.2
11,6:26,1:36.5,1:43.8,0:07.3
12,6:27,1:36.8,1:44.0,0:07.3
13,6:28,1:37.0,1:44.3,0:07.3
14,6:29,1:37.2,1:44.6,0:07.3
15,6:30,1:37.5,1:44.8,0:07.3
16,6:31,1:37.8,1:45.1,0:07.3
17,6:32,1:38.0,1:45.4,0:07.4
18,6:33,1:38.2,1:45.6,0:07.4
19,6:34,1:38.5,1:45.9,0:07.4
20,6:35,1:38.8,1:46.2,0:07.4
21,6:36,1:39.0,1:46.4,0:07.4
22,6:37,1:39.2,1:46.7,0:07.5
23,6:38,1:39.5,1:47.0,0:07.5
24,6:39,1:39.8,1:47.3,0:07.5
25,6:40,1:40.0,1:47.5,0:07.5
26,6:41,1:40.2,1:47.8,0:07.5
27,6:42,1:40.5,1:48.1,0:07.6
28,6:43,1:40.8,1:48.3,0:07.6
29,6:44,1:41.0,1:48.6,0:07.6
30,6:45,1:41.2,1:48.9,0:07.6
31,6:46,1:41.5,1:49.1,0:07.6
32,6:47,1:41.8,1:49.4,0:07.7
33,6:48,1:42.0,1:49.7,0:07.7
34,6:49,1:42.2,1:49.9,0:07.7
35,6:50,1:42.5,1:50.2,0:07.7
36,6:51,1:42.8,1:50.5,0:07.7
37,6:52,1:43.0,1:50.7,0:07.7
38,6:53,1:43.2,1:51.0,0:07.8
39,6:54,1:43.5,1:51.3,0:07.8
40,6:55,1:43.8,1:51.6,0:07.8
41,6:56,1:44.0,1:51.8,0:07.8
42,6:57,1:44.2,1:52.1,0:07.8
43,6:58,1:44.5,1:52.4,0:07.9
44,6:59,1:44.8,1:52.6,0:07.9
45,7:00,1:45.0,1:52.9,0:07.9
46,7:01,1:45.2,1:53.2,0:07.9
47,7:02,1:45.5,1:53.4,0:07.9
48,7:03,1:45.8,1:53.7,0:08.0
49,7:04,1:46.0,1:54.0,0:08.0
50,7:05,1:46.2,1:54.2,0:08.0
51,7:06,1:46.5,1:54.5,0:08.0
52,7:07,1:46.8,1:54.8,0:08.0
53,7:08,1:47.0,1:55.0,0:08.0
54,7:09,1:47.2,1:55.3,0:08.1
55,7:10,1:47.5,1:55.6,0:08.1
56,7:11,1:47.8,1:55.9,0:08.1
57,7:12,1:48.0,1:56.1,0:08.1
58,7:13,1:48.2,1:56.4,0:08.1
59,7:14,1:48.5,1:56.7,0:08.2
60,7:15,1:48.8,1:56.9,0:08.2
61,7:16,1:49.0,1:57.2,0:08.2
62,7:17,1:49.2,1:57.5,0:08.2
63,7:18,1:49.5,1:57.7,0:08.2
64,7:19,1:49.8,1:58.0,0:08.3
65,7:20,1:50.0,1:58.3,0:08.3
